column,missing_share,dataset
BidAskSpread_p02,0.0,openap_sorted_portfolios
BidAskSpread_p03,0.0,openap_sorted_portfolios
BidAskSpread_p04,0.0,openap_sorted_portfolios
BidAskSpread_p05,0.0,openap_sorted_portfolios
BidAskSpread_p06,0.0,openap_sorted_portfolios
BookLeverage_p01,0.0,openap_sorted_portfolios
BookLeverage_p02,0.0,openap_sorted_portfolios
BookLeverage_p03,0.0,openap_sorted_portfolios
BookLeverage_p04,0.0,openap_sorted_portfolios
BookLeverage_p05,0.0,openap_sorted_portfolios
CBOperProf_p01,0.0,openap_sorted_portfolios
CBOperProf_p02,0.0,openap_sorted_portfolios
CBOperProf_p03,0.0,openap_sorted_portfolios
CBOperProf_p04,0.0,openap_sorted_portfolios
CBOperProf_p05,0.0,openap_sorted_portfolios
CBOperProf_p06,0.0,openap_sorted_portfolios
CBOperProf_p07,0.0,openap_sorted_portfolios
CBOperProf_p08,0.0,openap_sorted_portfolios
CBOperProf_p09,0.0,openap_sorted_portfolios
CBOperProf_p10,0.0,openap_sorted_portfolios
CF_p01,0.0,openap_sorted_portfolios
CF_p02,0.0,openap_sorted_portfolios
CF_p03,0.0,openap_sorted_portfolios
CF_p04,0.0,openap_sorted_portfolios
CF_p05,0.0,openap_sorted_portfolios
CF_p06,0.0,openap_sorted_portfolios
CF_p07,0.0,openap_sorted_portfolios
CF_p08,0.0,openap_sorted_portfolios
CF_p09,0.0,openap_sorted_portfolios
CF_p10,0.0,openap_sorted_portfolios
CashProd_p01,0.0,openap_sorted_portfolios
CashProd_p02,0.0,openap_sorted_portfolios
CashProd_p03,0.0,openap_sorted_portfolios
CashProd_p04,0.0,openap_sorted_portfolios
CashProd_p05,0.0,openap_sorted_portfolios
ChAssetTurnover_p01,0.0,openap_sorted_portfolios
ChAssetTurnover_p02,0.0,openap_sorted_portfolios
ChAssetTurnover_p03,0.0,openap_sorted_portfolios
ChAssetTurnover_p04,0.0,openap_sorted_portfolios
ChAssetTurnover_p05,0.0,openap_sorted_portfolios
ChEQ_p01,0.0,openap_sorted_portfolios
ChEQ_p02,0.0,openap_sorted_portfolios
ChEQ_p03,0.0,openap_sorted_portfolios
ChEQ_p04,0.0,openap_sorted_portfolios
ChEQ_p05,0.0,openap_sorted_portfolios
ChInvIA_p01,0.0,openap_sorted_portfolios
ChInvIA_p02,0.0,openap_sorted_portfolios
ChInvIA_p03,0.0,openap_sorted_portfolios
ChInvIA_p04,0.0,openap_sorted_portfolios
ChInvIA_p05,0.0,openap_sorted_portfolios
ChInv_p01,0.0,openap_sorted_portfolios
ChInv_p02,0.0,openap_sorted_portfolios
ChInv_p03,0.0,openap_sorted_portfolios
ChInv_p04,0.0,openap_sorted_portfolios
ChInv_p09,0.0,openap_sorted_portfolios
ChInv_p10,0.0,openap_sorted_portfolios
ChNNCOA_p01,0.0,openap_sorted_portfolios
ChNNCOA_p02,0.0,openap_sorted_portfolios
ChNNCOA_p03,0.0,openap_sorted_portfolios
ChNNCOA_p04,0.0,openap_sorted_portfolios
ChNNCOA_p05,0.0,openap_sorted_portfolios
ChNWC_p01,0.0,openap_sorted_portfolios
ChNWC_p02,0.0,openap_sorted_portfolios
ChNWC_p03,0.0,openap_sorted_portfolios
ChNWC_p04,0.0,openap_sorted_portfolios
ChNWC_p05,0.0,openap_sorted_portfolios
ChTax_p01,0.0,openap_sorted_portfolios
ChTax_p02,0.0,openap_sorted_portfolios
ChTax_p03,0.0,openap_sorted_portfolios
ChTax_p07,0.0,openap_sorted_portfolios
ChTax_p08,0.0,openap_sorted_portfolios
ChTax_p09,0.0,openap_sorted_portfolios
ChTax_p10,0.0,openap_sorted_portfolios
CompEquIss_p01,0.0,openap_sorted_portfolios
CompEquIss_p02,0.0,openap_sorted_portfolios
CompEquIss_p03,0.0,openap_sorted_portfolios
CompEquIss_p04,0.0,openap_sorted_portfolios
CompEquIss_p05,0.0,openap_sorted_portfolios
CompositeDebtIssuance_p01,0.0,openap_sorted_portfolios
CompositeDebtIssuance_p02,0.0,openap_sorted_portfolios
CompositeDebtIssuance_p03,0.0,openap_sorted_portfolios
ConvDebt_p01,0.0,openap_sorted_portfolios
ConvDebt_p02,0.0,openap_sorted_portfolios
CoskewACX_p01,0.0,openap_sorted_portfolios
CoskewACX_p02,0.0,openap_sorted_portfolios
CoskewACX_p03,0.0,openap_sorted_portfolios
CoskewACX_p04,0.0,openap_sorted_portfolios
CoskewACX_p05,0.0,openap_sorted_portfolios
Coskewness_p01,0.0,openap_sorted_portfolios
Coskewness_p02,0.0,openap_sorted_portfolios
Coskewness_p03,0.0,openap_sorted_portfolios
CredRatDG_p02,0.0,openap_sorted_portfolios
DebtIssuance_p02,0.0,openap_sorted_portfolios
DelCOA_p01,0.0,openap_sorted_portfolios
DelCOA_p02,0.0,openap_sorted_portfolios
DelCOA_p03,0.0,openap_sorted_portfolios
DelCOA_p04,0.0,openap_sorted_portfolios
DelCOA_p05,0.0,openap_sorted_portfolios
DelCOL_p01,0.0,openap_sorted_portfolios
DelCOL_p02,0.0,openap_sorted_portfolios
DelCOL_p03,0.0,openap_sorted_portfolios
DelCOL_p04,0.0,openap_sorted_portfolios
DelCOL_p05,0.0,openap_sorted_portfolios
DelEqu_p01,0.0,openap_sorted_portfolios
DelEqu_p02,0.0,openap_sorted_portfolios
DelEqu_p03,0.0,openap_sorted_portfolios
DelEqu_p04,0.0,openap_sorted_portfolios
DelEqu_p05,0.0,openap_sorted_portfolios
DelFINL_p01,0.0,openap_sorted_portfolios
DelFINL_p02,0.0,openap_sorted_portfolios
DelFINL_p03,0.0,openap_sorted_portfolios
DelFINL_p04,0.0,openap_sorted_portfolios
DelFINL_p05,0.0,openap_sorted_portfolios
DelLTI_p01,0.0,openap_sorted_portfolios
DelLTI_p02,0.0,openap_sorted_portfolios
DelLTI_p05,0.0,openap_sorted_portfolios
DelNetFin_p01,0.0,openap_sorted_portfolios
DelNetFin_p02,0.0,openap_sorted_portfolios
DelNetFin_p03,0.0,openap_sorted_portfolios
DelNetFin_p04,0.0,openap_sorted_portfolios
DelNetFin_p05,0.0,openap_sorted_portfolios
DivInit_p01,0.0,openap_sorted_portfolios
DivInit_p02,0.0,openap_sorted_portfolios
DivOmit_p02,0.0,openap_sorted_portfolios
DivSeason_p01,0.0,openap_sorted_portfolios
DivSeason_p02,0.0,openap_sorted_portfolios
DivYieldST_p01,0.0,openap_sorted_portfolios
DivYieldST_p02,0.0,openap_sorted_portfolios
DivYieldST_p03,0.0,openap_sorted_portfolios
DivYieldST_p04,0.0,openap_sorted_portfolios
DolVol_p01,0.0,openap_sorted_portfolios
DolVol_p02,0.0,openap_sorted_portfolios
DolVol_p03,0.0,openap_sorted_portfolios
DolVol_p04,0.0,openap_sorted_portfolios
DolVol_p05,0.0,openap_sorted_portfolios
EBM_p01,0.0,openap_sorted_portfolios
EBM_p02,0.0,openap_sorted_portfolios
EBM_p03,0.0,openap_sorted_portfolios
EBM_p04,0.0,openap_sorted_portfolios
EBM_p05,0.0,openap_sorted_portfolios
EBM_p06,0.0,openap_sorted_portfolios
EBM_p07,0.0,openap_sorted_portfolios
EBM_p08,0.0,openap_sorted_portfolios
EBM_p09,0.0,openap_sorted_portfolios
EBM_p10,0.0,openap_sorted_portfolios
EP_p01,0.0,openap_sorted_portfolios
EP_p02,0.0,openap_sorted_portfolios
EP_p03,0.0,openap_sorted_portfolios
EP_p04,0.0,openap_sorted_portfolios
EP_p05,0.0,openap_sorted_portfolios
EarnSupBig_p01,0.0,openap_sorted_portfolios
EarnSupBig_p05,0.0,openap_sorted_portfolios
EarningsConsistency_p01,0.0,openap_sorted_portfolios
EarningsConsistency_p02,0.0,openap_sorted_portfolios
EarningsConsistency_p03,0.0,openap_sorted_portfolios
EarningsConsistency_p04,0.0,openap_sorted_portfolios
EarningsConsistency_p05,0.0,openap_sorted_portfolios
EarningsSurprise_p01,0.0,openap_sorted_portfolios
EarningsSurprise_p02,0.0,openap_sorted_portfolios
EarningsSurprise_p03,0.0,openap_sorted_portfolios
EarningsSurprise_p04,0.0,openap_sorted_portfolios
EarningsSurprise_p05,0.0,openap_sorted_portfolios
EarningsSurprise_p06,0.0,openap_sorted_portfolios
EarningsSurprise_p07,0.0,openap_sorted_portfolios
EarningsSurprise_p08,0.0,openap_sorted_portfolios
EarningsSurprise_p09,0.0,openap_sorted_portfolios
EarningsSurprise_p10,0.0,openap_sorted_portfolios
EntMult_p01,0.0,openap_sorted_portfolios
EntMult_p02,0.0,openap_sorted_portfolios
EntMult_p03,0.0,openap_sorted_portfolios
EntMult_p04,0.0,openap_sorted_portfolios
EntMult_p05,0.0,openap_sorted_portfolios
EntMult_p06,0.0,openap_sorted_portfolios
EntMult_p07,0.0,openap_sorted_portfolios
EntMult_p08,0.0,openap_sorted_portfolios
EntMult_p09,0.0,openap_sorted_portfolios
EntMult_p10,0.0,openap_sorted_portfolios
EquityDuration_p01,0.0,openap_sorted_portfolios
EquityDuration_p02,0.0,openap_sorted_portfolios
EquityDuration_p03,0.0,openap_sorted_portfolios
EquityDuration_p04,0.0,openap_sorted_portfolios
EquityDuration_p05,0.0,openap_sorted_portfolios
ExchSwitch_p01,0.0,openap_sorted_portfolios
ExchSwitch_p02,0.0,openap_sorted_portfolios
FirmAge_p01,0.0,openap_sorted_portfolios
FirmAge_p02,0.0,openap_sorted_portfolios
FirmAge_p03,0.0,openap_sorted_portfolios
FirmAge_p04,0.0,openap_sorted_portfolios
FirmAge_p05,0.0,openap_sorted_portfolios
Frontier_p01,0.0,openap_sorted_portfolios
Frontier_p02,0.0,openap_sorted_portfolios
Frontier_p03,0.0,openap_sorted_portfolios
Frontier_p04,0.0,openap_sorted_portfolios
Frontier_p05,0.0,openap_sorted_portfolios
Frontier_p06,0.0,openap_sorted_portfolios
Frontier_p07,0.0,openap_sorted_portfolios
Frontier_p08,0.0,openap_sorted_portfolios
Frontier_p09,0.0,openap_sorted_portfolios
Frontier_p10,0.0,openap_sorted_portfolios
GP_p01,0.0,openap_sorted_portfolios
GP_p02,0.0,openap_sorted_portfolios
GP_p03,0.0,openap_sorted_portfolios
GP_p04,0.0,openap_sorted_portfolios
GP_p05,0.0,openap_sorted_portfolios
GrLTNOA_p01,0.0,openap_sorted_portfolios
GrLTNOA_p02,0.0,openap_sorted_portfolios
GrLTNOA_p03,0.0,openap_sorted_portfolios
GrLTNOA_p04,0.0,openap_sorted_portfolios
GrLTNOA_p05,0.0,openap_sorted_portfolios
GrLTNOA_p06,0.0,openap_sorted_portfolios
GrLTNOA_p07,0.0,openap_sorted_portfolios
GrLTNOA_p08,0.0,openap_sorted_portfolios
GrLTNOA_p09,0.0,openap_sorted_portfolios
GrLTNOA_p10,0.0,openap_sorted_portfolios
GrSaleToGrInv_p01,0.0,openap_sorted_portfolios
GrSaleToGrInv_p02,0.0,openap_sorted_portfolios
GrSaleToGrInv_p03,0.0,openap_sorted_portfolios
GrSaleToGrInv_p04,0.0,openap_sorted_portfolios
GrSaleToGrInv_p05,0.0,openap_sorted_portfolios
GrSaleToGrOverhead_p01,0.0,openap_sorted_portfolios
GrSaleToGrOverhead_p02,0.0,openap_sorted_portfolios
GrSaleToGrOverhead_p03,0.0,openap_sorted_portfolios
GrSaleToGrOverhead_p04,0.0,openap_sorted_portfolios
GrSaleToGrOverhead_p05,0.0,openap_sorted_portfolios
HerfAsset_p01,0.0,openap_sorted_portfolios
HerfAsset_p02,0.0,openap_sorted_portfolios
HerfAsset_p03,0.0,openap_sorted_portfolios
HerfAsset_p04,0.0,openap_sorted_portfolios
HerfAsset_p05,0.0,openap_sorted_portfolios
HerfBE_p01,0.0,openap_sorted_portfolios
HerfBE_p02,0.0,openap_sorted_portfolios
HerfBE_p03,0.0,openap_sorted_portfolios
HerfBE_p04,0.0,openap_sorted_portfolios
HerfBE_p05,0.0,openap_sorted_portfolios
Herf_p01,0.0,openap_sorted_portfolios
Herf_p02,0.0,openap_sorted_portfolios
Herf_p03,0.0,openap_sorted_portfolios
Herf_p04,0.0,openap_sorted_portfolios
Herf_p05,0.0,openap_sorted_portfolios
High52_p01,0.0,openap_sorted_portfolios
High52_p02,0.0,openap_sorted_portfolios
High52_p03,0.0,openap_sorted_portfolios
IdioVol3F_p01,0.0,openap_sorted_portfolios
IdioVol3F_p02,0.0,openap_sorted_portfolios
IdioVol3F_p03,0.0,openap_sorted_portfolios
IdioVol3F_p04,0.0,openap_sorted_portfolios
IdioVol3F_p05,0.0,openap_sorted_portfolios
IdioVolAHT_p01,0.0,openap_sorted_portfolios
IdioVolAHT_p02,0.0,openap_sorted_portfolios
IdioVolAHT_p03,0.0,openap_sorted_portfolios
IdioVolAHT_p04,0.0,openap_sorted_portfolios
IdioVolAHT_p05,0.0,openap_sorted_portfolios
Illiquidity_p01,0.0,openap_sorted_portfolios
Illiquidity_p02,0.0,openap_sorted_portfolios
Illiquidity_p03,0.0,openap_sorted_portfolios
Illiquidity_p04,0.0,openap_sorted_portfolios
Illiquidity_p05,0.0,openap_sorted_portfolios
IndIPO_p02,0.0,openap_sorted_portfolios
IndMom_p01,0.0,openap_sorted_portfolios
IndMom_p02,0.0,openap_sorted_portfolios
IndMom_p03,0.0,openap_sorted_portfolios
IndRetBig_p01,0.0,openap_sorted_portfolios
IndRetBig_p03,0.0,openap_sorted_portfolios
IndRetBig_p04,0.0,openap_sorted_portfolios
IndRetBig_p05,0.0,openap_sorted_portfolios
IntMom_p01,0.0,openap_sorted_portfolios
IntMom_p02,0.0,openap_sorted_portfolios
IntMom_p03,0.0,openap_sorted_portfolios
IntMom_p04,0.0,openap_sorted_portfolios
IntMom_p05,0.0,openap_sorted_portfolios
IntMom_p06,0.0,openap_sorted_portfolios
IntMom_p07,0.0,openap_sorted_portfolios
IntMom_p08,0.0,openap_sorted_portfolios
IntMom_p09,0.0,openap_sorted_portfolios
IntMom_p10,0.0,openap_sorted_portfolios
IntanCFP_p01,0.0,openap_sorted_portfolios
IntanCFP_p02,0.0,openap_sorted_portfolios
IntanCFP_p03,0.0,openap_sorted_portfolios
IntanCFP_p04,0.0,openap_sorted_portfolios
IntanCFP_p05,0.0,openap_sorted_portfolios
IntanEP_p01,0.0,openap_sorted_portfolios
IntanEP_p02,0.0,openap_sorted_portfolios
IntanEP_p03,0.0,openap_sorted_portfolios
IntanEP_p04,0.0,openap_sorted_portfolios
IntanEP_p05,0.0,openap_sorted_portfolios
IntanSP_p01,0.0,openap_sorted_portfolios
IntanSP_p02,0.0,openap_sorted_portfolios
IntanSP_p03,0.0,openap_sorted_portfolios
IntanSP_p04,0.0,openap_sorted_portfolios
IntanSP_p05,0.0,openap_sorted_portfolios
InvGrowth_p01,0.0,openap_sorted_portfolios
InvGrowth_p02,0.0,openap_sorted_portfolios
InvGrowth_p03,0.0,openap_sorted_portfolios
InvGrowth_p04,0.0,openap_sorted_portfolios
InvGrowth_p05,0.0,openap_sorted_portfolios
InvGrowth_p06,0.0,openap_sorted_portfolios
InvGrowth_p07,0.0,openap_sorted_portfolios
InvGrowth_p08,0.0,openap_sorted_portfolios
InvGrowth_p09,0.0,openap_sorted_portfolios
InvGrowth_p10,0.0,openap_sorted_portfolios
InvestPPEInv_p01,0.0,openap_sorted_portfolios
InvestPPEInv_p02,0.0,openap_sorted_portfolios
InvestPPEInv_p03,0.0,openap_sorted_portfolios
Investment_p01,0.0,openap_sorted_portfolios
Investment_p02,0.0,openap_sorted_portfolios
Investment_p03,0.0,openap_sorted_portfolios
Investment_p04,0.0,openap_sorted_portfolios
Investment_p05,0.0,openap_sorted_portfolios
LRreversal_p01,0.0,openap_sorted_portfolios
LRreversal_p02,0.0,openap_sorted_portfolios
LRreversal_p03,0.0,openap_sorted_portfolios
LRreversal_p04,0.0,openap_sorted_portfolios
LRreversal_p05,0.0,openap_sorted_portfolios
Leverage_p01,0.0,openap_sorted_portfolios
Leverage_p02,0.0,openap_sorted_portfolios
Leverage_p03,0.0,openap_sorted_portfolios
Leverage_p04,0.0,openap_sorted_portfolios
Leverage_p05,0.0,openap_sorted_portfolios
MRreversal_p01,0.0,openap_sorted_portfolios
MRreversal_p02,0.0,openap_sorted_portfolios
MRreversal_p03,0.0,openap_sorted_portfolios
MRreversal_p04,0.0,openap_sorted_portfolios
MRreversal_p05,0.0,openap_sorted_portfolios
MS_p01,0.0,openap_sorted_portfolios
MaxRet_p01,0.0,openap_sorted_portfolios
MaxRet_p02,0.0,openap_sorted_portfolios
MaxRet_p03,0.0,openap_sorted_portfolios
MaxRet_p04,0.0,openap_sorted_portfolios
