date,Mkt-RF,SMB,HML,RMW,CMA,RF
1976-08-31,-0.57,-2.02,0.79,-0.4,-0.57,0.42
1976-09-30,2.04,0.2,-0.31,0.98,-1.14,0.44
1976-10-31,-2.42,0.05,-0.17,-0.19,-0.37,0.41
1976-11-30,0.37,2.7,1.53,-1.31,0.07,0.4
1976-12-31,5.65,3.6,2.23,-0.72,2.41,0.4
1977-01-31,-4.04,5.91,4.32,-0.54,1.93,0.36
1977-02-28,-1.94,1.05,0.45,-0.21,-0.19,0.35
1977-03-31,-1.35,1.29,1.09,-0.32,-0.11,0.38
1977-04-30,0.15,0.6,3.38,-1.98,1.04,0.38
1977-05-31,-1.47,1.37,0.81,0.43,0.22,0.37
1977-06-30,4.72,2.1,-0.62,0.91,-1.27,0.4
1977-07-31,-1.69,1.81,-0.6,0.75,0.12,0.42
1977-08-31,-1.76,0.93,-2.77,1.04,-0.67,0.44
1977-09-30,-0.27,1.62,-0.26,0.92,-0.65,0.43
1977-10-31,-4.39,1.41,1.62,-0.09,-0.46,0.49
1977-11-30,4.02,3.6,0.23,-0.06,0.68,0.5
1977-12-31,0.27,1.61,-0.29,0.93,-0.66,0.49
1978-01-31,-5.99,2.76,3.38,-1.8,1.56,0.49
1978-02-28,-1.39,3.7,0.81,0.3,1.05,0.46
1978-03-31,2.85,3.65,1.15,-0.57,2.0,0.53
1978-04-30,7.87,-0.32,-3.54,2.87,-1.27,0.54
1978-05-31,1.76,4.54,-0.55,0.2,0.29,0.51
1978-06-30,-1.69,1.64,0.6,-1.41,-0.12,0.54
1978-07-31,5.12,0.17,-1.0,1.47,-0.73,0.56
1978-08-31,3.79,4.93,-0.66,1.57,0.5,0.56
1978-09-30,-1.45,-0.38,1.88,-0.69,1.57,0.62
1978-10-31,-11.91,-10.04,1.26,0.17,1.14,0.68
1978-11-30,2.72,2.9,-2.08,1.09,-1.19,0.7
1978-12-31,0.88,1.01,-2.14,2.01,-1.47,0.78
1979-01-31,4.22,3.74,2.19,-2.4,1.58,0.77
1979-02-28,-3.56,0.53,1.17,-1.11,0.96,0.73
1979-03-31,5.67,3.17,-0.68,0.54,0.29,0.81
1979-04-30,-0.07,2.4,1.12,1.14,0.24,0.8
1979-05-31,-2.21,0.18,1.32,-1.56,-0.31,0.82
1979-06-30,3.84,0.94,1.42,-1.58,-0.56,0.81
1979-07-31,0.83,1.27,1.79,-0.44,0.52,0.77
1979-08-31,5.54,1.85,-1.58,1.5,-1.46,0.77
1979-09-30,-0.83,-0.28,-0.94,0.84,0.5,0.83
1979-10-31,-8.1,-3.49,-1.83,0.96,0.14,0.87
1979-11-30,5.23,2.51,-3.21,-0.03,-1.83,0.99
1979-12-31,1.78,4.27,-2.13,-0.67,-1.01,0.95
1980-01-31,5.5,1.88,1.85,-1.84,1.89,0.8
1980-02-29,-1.23,-1.62,0.59,-0.95,2.92,0.89
1980-03-31,-12.89,-6.97,-0.96,1.82,-1.05,1.21
1980-04-30,3.96,1.05,1.03,-2.18,0.34,1.26
1980-05-31,5.26,2.0,0.38,0.43,-0.63,0.81
1980-06-30,2.97,1.46,-0.8,-0.2,-0.81,0.61
1980-07-31,6.51,3.74,-6.29,4.06,-2.44,0.53
1980-08-31,1.75,4.23,-2.46,2.05,-0.73,0.64
1980-09-30,2.19,0.63,-4.61,1.9,-2.86,0.75
1980-10-31,1.04,2.21,-2.93,1.77,-1.43,0.95
1980-11-30,9.6,-3.27,-8.11,4.26,-5.52,0.96
1980-12-31,-4.46,-0.28,2.8,-1.27,1.27,1.31
1981-01-31,-5.06,3.3,6.74,-3.38,4.27,1.04
1981-02-28,0.61,-0.65,0.97,0.26,2.06,1.07
1981-03-31,3.66,2.85,0.61,-2.27,-0.56,1.21
1981-04-30,-2.16,4.72,2.28,0.81,1.54,1.08
1981-05-31,0.13,2.36,-0.43,0.47,-1.78,1.15
1981-06-30,-2.34,-0.93,5.14,-1.29,2.69,1.35
1981-07-31,-1.55,-1.95,-0.61,1.08,-2.66,1.24
1981-08-31,-7.02,-1.82,4.71,-0.31,1.38,1.28
1981-09-30,-7.2,-2.46,5.11,0.08,2.53,1.24
1981-10-31,4.92,2.28,-4.09,3.12,-2.79,1.21
1981-11-30,3.4,-1.58,1.91,0.14,1.0,1.07
1981-12-31,-3.63,1.18,0.79,0.21,2.45,0.87
1982-01-31,-3.23,-1.1,3.19,-1.43,1.95,0.8
1982-02-28,-5.86,0.4,6.09,-3.55,4.57,0.92
1982-03-31,-1.82,0.02,3.76,-1.28,2.37,0.98
1982-04-30,3.24,1.21,-3.08,1.5,-0.05,1.13
1982-05-31,-3.93,0.41,1.78,0.96,-0.12,1.06
1982-06-30,-3.08,-0.51,1.56,0.09,2.53,0.96
1982-07-31,-3.2,1.01,0.07,1.0,1.44,1.05
1982-08-31,11.15,-4.46,1.09,-1.85,0.17,0.76
1982-09-30,1.32,2.55,0.23,2.16,-0.02,0.51
1982-10-31,11.24,1.96,-3.62,0.2,-0.3,0.59
1982-11-30,4.68,4.39,-1.8,-1.02,0.29,0.63
1982-12-31,0.56,-0.14,-0.06,0.0,1.0,0.67
1983-01-31,3.59,3.41,-0.72,-1.52,-0.56,0.69
1983-02-28,2.59,2.88,0.66,-0.36,1.01,0.62
1983-03-31,2.81,1.37,2.06,-0.19,2.8,0.63
1983-04-30,6.65,0.43,0.43,-0.07,1.51,0.71
1983-05-31,0.51,6.26,-1.4,-1.81,-1.43,0.69
1983-06-30,3.07,1.16,-3.89,2.55,-0.78,0.67
1983-07-31,-4.06,1.05,5.54,-0.07,2.88,0.74
1983-08-31,-0.5,-4.32,5.59,0.52,1.85,0.76
1983-09-30,0.91,0.3,0.99,1.21,0.5,0.76
1983-10-31,-3.43,-3.75,4.96,-0.82,3.0,0.76
1983-11-30,2.16,1.87,-0.73,-0.68,0.64,0.7
1983-12-31,-1.77,-0.42,1.75,1.55,1.33,0.73
1984-01-31,-1.92,0.0,7.48,-0.88,2.88,0.76
1984-02-29,-4.76,-1.58,3.41,1.04,1.51,0.71
1984-03-31,0.65,-0.25,0.53,-0.97,1.15,0.73
1984-04-30,-0.51,-0.94,1.19,3.3,0.77,0.81
1984-05-31,-5.98,0.14,0.26,2.41,-0.51,0.78
1984-06-30,1.81,0.16,-2.75,3.08,-1.57,0.75
1984-07-31,-2.72,-2.21,0.39,3.52,-2.16,0.82
1984-08-31,10.27,-0.28,-1.74,-0.73,-0.91,0.83
1984-09-30,-0.8,-0.04,5.25,1.37,2.39,0.86
1984-10-31,-0.84,-1.34,0.59,1.14,-1.04,1.0
1984-11-30,-1.77,-1.06,3.87,0.8,1.95,0.73
